dep_id;tc_id;sn_id;device_id
1;0;0;d_3
1;0;0;d_6
1;0;0;d_26
1;0;0;d_15
1;0;0;d_19
1;0;0;t_12
1;0;0;t_8
1;0;1;d_20
1;0;1;d_14
1;0;1;d_7
1;0;1;d_10
1;0;1;d_6
1;0;1;t_5
1;0;1;t_8
1;0;2;d_17
1;0;2;d_29
1;0;2;d_6
1;0;2;d_16
1;0;2;d_24
1;0;2;t_4
1;0;2;t_11
1;0;3;d_8
1;0;3;d_24
1;0;3;d_5
1;0;3;d_0
1;0;3;d_2
1;0;3;t_6
1;0;3;t_1
1;0;4;d_27
1;0;4;d_21
1;0;4;d_5
1;0;4;d_23
1;0;4;d_29
1;0;4;t_0
1;0;4;t_11
1;0;5;d_8
1;0;5;d_25
1;0;5;d_17
1;0;5;d_24
1;0;5;d_20
1;0;5;t_1
1;0;5;t_11
1;0;6;d_29
1;0;6;d_5
1;0;6;d_10
1;0;6;d_3
1;0;6;d_15
1;0;6;t_3
1;0;6;t_5
1;0;7;d_21
1;0;7;d_16
1;0;7;d_27
1;0;7;d_0
1;0;7;d_14
1;0;7;t_7
1;0;7;t_4
1;0;8;d_26
1;0;8;d_17
1;0;8;d_1
1;0;8;d_0
1;0;8;d_16
1;0;8;t_8
1;0;8;t_3
1;0;9;d_27
1;0;9;d_16
1;0;9;d_22
1;0;9;d_29
1;0;9;d_15
1;0;9;t_6
1;0;9;t_1
1;0;10;d_15
1;0;10;d_31
1;0;10;d_9
1;0;10;d_11
1;0;10;d_13
1;0;10;t_1
1;0;10;t_7
1;0;11;d_31
1;0;11;d_3
1;0;11;d_0
1;0;11;d_8
1;0;11;d_5
1;0;11;t_5
1;0;11;t_9
1;0;12;d_16
1;0;12;d_0
1;0;12;d_31
1;0;12;d_14
1;0;12;d_29
1;0;12;t_12
1;0;12;t_11
1;1;0;d_21
1;1;0;d_27
1;1;0;d_5
1;1;0;d_31
1;1;0;t_10
1;1;0;t_1
1;1;1;d_23
1;1;1;d_15
1;1;1;d_21
1;1;1;d_27
1;1;1;t_5
1;1;1;t_8
1;1;2;d_10
1;1;2;d_29
1;1;2;d_23
1;1;2;d_1
1;1;2;t_11
1;1;2;t_1
1;1;3;d_18
1;1;3;d_19
1;1;3;d_21
1;1;3;d_3
1;1;3;t_2
1;1;3;t_9
1;1;4;d_14
1;1;4;d_0
1;1;4;d_18
1;1;4;d_12
1;1;4;t_4
1;1;4;t_7
1;1;5;d_14
1;1;5;d_17
1;1;5;d_18
1;1;5;d_20
1;1;5;t_7
1;1;5;t_4
1;1;6;d_6
1;1;6;d_8
1;1;6;d_9
1;1;6;d_23
1;1;6;t_1
1;1;6;t_0
1;1;7;d_8
1;1;7;d_12
1;1;7;d_20
1;1;7;d_18
1;1;7;t_11
1;1;7;t_3
1;1;8;d_22
1;1;8;d_24
1;1;8;d_15
1;1;8;d_19
1;1;8;t_8
1;1;8;t_11
1;1;9;d_9
1;1;9;d_29
1;1;9;d_10
1;1;9;d_15
1;1;9;t_2
1;1;9;t_11
1;1;10;d_24
1;1;10;d_5
1;1;10;d_6
1;1;10;d_16
1;1;10;t_3
1;1;10;t_6
1;1;11;d_23
1;1;11;d_17
1;1;11;d_0
1;1;11;d_5
1;1;11;t_5
1;1;11;t_4
1;1;12;d_28
1;1;12;d_27
1;1;12;d_29
1;1;12;d_7
1;1;12;t_8
1;1;12;t_6
1;1;13;d_25
